City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
puerto ayora,75,EC,1595196317,73,-0.74,-90.35,75.2,13.87
busselton,54,AU,1595196586,76,-33.65,115.33,46.99,8.34
ossora,96,RU,1595196649,88,59.24,163.07,52.48,13.89
hofn,39,IS,1595196614,57,64.25,-15.21,55.54,9.22
cherskiy,0,RU,1595196598,46,68.75,161.3,70.34,7.29
ushuaia,40,AR,1595196511,92,-54.8,-68.3,32,5.82
carnarvon,0,AU,1595196465,87,-24.87,113.63,48.2,8.05
taolanaro,,,,,,,,
onega,0,RU,1595196650,67,63.91,38.14,58.89,5.61
yellowknife,75,CA,1595196579,60,62.46,-114.35,71.01,13.87
peniche,2,PT,1595196650,83,39.36,-9.38,66.99,5.01
kodiak,90,US,1595196584,87,57.79,-152.41,57.2,4.7
sitka,90,US,1595196528,93,57.05,-135.33,55.4,9.17
carutapera,97,BR,1595196560,83,-1.2,-46.02,76.89,6.98
belushya guba,,,,,,,,
hilo,20,US,1595196455,62,19.73,-155.09,84.2,9.17
bambous virieux,40,MU,1595196581,82,-20.34,57.76,68,12.75
juneau,90,US,1595196432,87,58.3,-134.42,57.99,14.99
sao joao da barra,0,BR,1595196652,78,-21.64,-41.05,71.6,11.41
cape town,40,ZA,1595196472,100,-33.93,18.42,60.01,11.41
palabuhanratu,,,,,,,,
hobart,40,AU,1595196503,75,-42.88,147.33,45,9.17
airai,24,TL,1595196652,56,-8.93,125.41,53.74,2.89
jamestown,20,US,1595196394,94,42.1,-79.24,77,9.17
rikitea,37,PF,1595196579,70,-23.12,-134.97,68.45,14.18
cam ranh,20,VN,1595196653,74,11.92,109.16,82.4,1.12
norman wells,75,CA,1595196610,63,65.28,-126.83,62.6,5.82
olafsvik,14,IS,1595196653,77,64.89,-23.71,48.67,5.64
kapaa,75,US,1595196581,78,22.08,-159.32,82.4,18.34
kaitangata,96,NZ,1595196654,79,-46.28,169.85,45,5.99
dubai,8,AE,1595196549,37,25.26,55.3,100.4,10.29
butaritari,93,KI,1595196601,77,3.07,172.79,83.39,16.84
namibe,0,AO,1595196625,76,-15.2,12.15,67.73,7.05
khani,90,GE,1595196655,83,41.96,42.96,77,3.36
zabol,0,AF,1595196655,24,32.25,67.25,67.84,4.92
praxedis guerrero,75,MX,1595196655,19,31.37,-106.02,97,12.75
lagoa,11,PT,1595196622,77,39.05,-27.98,69.33,6.08
manokwari,91,ID,1595196656,72,-0.87,134.08,79.9,5.73
mys shmidta,,,,,,,,
bani walid,0,LY,1595196656,80,31.76,13.99,71.26,7.05
geraldton,0,AU,1595196293,87,-28.77,114.6,48.2,9.17
kalianget,9,ID,1595196656,77,-7.05,113.93,79.61,9.71
nikolayevsk-na-amure,88,RU,1595196657,83,53.14,140.73,63.84,3.33
abu kamal,0,SY,1595196657,17,34.45,40.92,86.94,4.97
cabo san lucas,40,MX,1595196326,38,22.89,-109.91,93.2,23.04
colares,10,PT,1595196657,82,38.8,-9.45,66.99,10
mount pleasant,1,US,1595196375,66,32.79,-79.86,91.99,10.29
wanning,100,CN,1595196658,84,18.8,110.4,81.37,10.87
clyde river,90,CA,1595196658,81,70.47,-68.59,46.4,9.17
mporokoso,0,ZM,1595196658,75,-9.37,30.12,54.9,8.19
illoqqortoormiut,,,,,,,,
the valley,40,AI,1595196533,66,18.22,-63.06,86,13.87
east london,0,ZA,1595196589,74,-33.02,27.91,60.64,9.44
garowe,89,SO,1595196659,59,8.41,48.48,76.5,22.17
yelizavetino,9,RU,1595196659,72,59.49,29.79,64.4,2.24
tchaourou,100,BJ,1595196659,96,8.89,2.6,71.89,2.84
upernavik,74,GL,1595196625,53,72.79,-56.15,49.84,6.93
mollendo,98,PE,1595196660,75,-17.02,-72.01,59.65,6.6
new norfolk,74,AU,1595196599,86,-42.78,147.06,45,3
okato,1,NZ,1595196660,78,-39.2,173.88,54,5.01
