 Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
vaitupu,,,,,,,,
bograd,40,RU,1594945698,93,54.23,90.83,60.8,6.71
butaritari,55,KI,1594945465,68,3.07,172.79,83.46,9.31
pisco,90,PE,1594945513,82,-13.7,-76.22,60.8,11.41
fort nelson,90,CA,1594945699,93,58.81,-122.7,59,3.36
avarua,2,CK,1594945699,69,-21.21,-159.78,73.4,10.29
bredasdorp,0,ZA,1594945699,93,-34.53,20.04,39.2,4.7
yumen,63,CN,1594945699,39,40.28,97.2,69.46,8.1
gaoual,98,GN,1594945699,94,11.75,-13.2,71.87,3.22
temir,0,KZ,1594945700,26,49.14,57.13,78.35,8.37
milton,58,US,1594945631,75,34.13,-84.3,84.99,3.22
cayenne,100,GF,1594945700,94,4.93,-52.33,78.8,10.76
trat,85,TH,1594945700,88,12.5,102.5,78.87,1.59
thompson,75,CA,1594945700,72,55.74,-97.86,66.2,9.17
tuktoyaktuk,75,CA,1594945701,67,69.45,-133.04,57.2,12.75
lodwar,95,KE,1594945701,48,3.12,35.6,80.08,12.12
bimbo,20,CF,1594945701,94,4.26,18.42,71.6,2.24
port-gentil,75,GA,1594945701,94,-0.72,8.78,75.2,11.1
tsihombe,,,,,,,,
mataura,13,NZ,1594945587,83,-46.19,168.86,39,3
waingapu,16,ID,1594945702,75,-9.66,120.26,76.73,5.84
atuona,0,PF,1594945466,75,-9.8,-139.03,79.92,17.76
christchurch,96,NZ,1594945702,81,-43.53,172.63,48.99,5.82
san patricio,75,MX,1594945702,78,19.22,-104.7,82.4,11.41
yellowknife,75,CA,1594945684,45,62.46,-114.35,69.01,6.93
san quintin,1,MX,1594945552,68,30.48,-115.95,71.33,14.47
shakhrinau,,,,,,,,
saskylakh,100,RU,1594945703,62,71.92,114.08,48.76,19.73
vaini,40,TO,1594945703,74,-21.2,-175.2,78.8,9.17
mar del plata,0,AR,1594945532,81,-38,-57.56,51.01,10.78
siauliai,90,LT,1594945704,87,55.93,23.32,55.4,3.36
esna,0,EG,1594945704,32,25.29,32.55,84.2,9.6
shupiyan,15,IN,1594945704,72,33.72,74.83,60.19,2.98
dwarka,95,IN,1594945704,79,22.24,68.97,83.89,6.38
bluff,24,NZ,1594945457,83,-46.6,168.33,39,3
sorland,96,NO,1594945705,80,67.67,12.69,57.18,10.47
rikitea,100,PF,1594945705,80,-23.12,-134.97,73.92,5.82
kapuskasing,75,CA,1594945705,64,49.42,-82.43,73.4,2.24
alyangula,2,AU,1594945705,73,-13.85,136.42,69.8,9.44
ambilobe,23,MG,1594945705,87,-13.2,49.05,66.88,3
talara,8,PE,1594945706,87,-4.58,-81.27,62.67,12.8
aurillac,90,FR,1594945706,87,44.92,2.45,59,4.7
albany,96,US,1594945706,59,42.6,-73.97,75,9.95
ushuaia,0,AR,1594945518,74,-54.8,-68.3,28.4,6.93
kuche,,,,,,,,
makakilo city,20,US,1594945706,58,21.35,-158.09,89.6,10.29
namibe,0,AO,1594945707,53,-15.2,12.15,68.34,4.29
port alfred,9,ZA,1594945456,46,-33.59,26.89,56.84,7.43
marcona,,,,,,,,
teya,86,RU,1594945707,88,60.38,92.63,50.95,9.62
hobart,20,AU,1594945469,75,-42.88,147.33,44.6,12.75
new norfolk,4,AU,1594945708,87,-42.78,147.06,42.01,2.51
sao filipe,20,CV,1594945708,80,14.9,-24.5,75.74,5.3
barbar,,,,,,,,
punta arenas,0,CL,1594945708,92,-53.15,-70.92,28.4,2.24
tinaquillo,87,VE,1594945708,91,9.92,-68.3,72.21,1.28
ulundi,0,ZA,1594945709,46,-28.34,31.42,49.1,4.41
tasiilaq,55,GL,1594945709,61,65.61,-37.64,46.4,20.8
mount gambier,8,AU,1594945709,93,-37.83,140.77,41,6.93
praya,75,CV,1594945519,73,14.92,-23.51,77,10.29
belushya guba,,,,,,,,
yola,100,NG,1594945709,86,9.2,12.48,75.74,2.86
coihaique,90,CL,1594945710,93,-45.58,-72.07,32,4.7
upernavik,29,GL,1594945710,80,72.79,-56.15,45.05,3.44
numaligarh,99,IN,1594945710,91,26.63,93.75,78.66,3.09
ribeira grande,81,PT,1594945587,79,38.52,-28.7,69.06,14.25
jiexiu,45,CN,1594945710,62,37.02,111.91,76.06,4.43
caarapo,59,BR,1594945711,75,-22.63,-54.82,66.67,5.46
longyearbyen,75,SJ,1594945536,87,78.22,15.64,44.6,2.24
qaanaaq,72,GL,1594945711,78,77.48,-69.36,43.88,4.68
barentsburg,,,,,,,,
attawapiskat,,,,,,,,
sri aman,20,MY,1594945712,94,1.24,111.46,77,1.12
nikolskoye,84,RU,1594945712,76,59.7,30.79,57.2,4.47
madera,0,US,1594945712,21,37.17,-119.83,99,1.99
juneau,75,US,1594945712,59,58.3,-134.42,66.2,10.29
cape town,0,ZA,1594945466,93,-33.93,18.42,48,4.7
kerema,41,PG,1594945713,80,-7.96,145.78,80.38,1.66
minab,40,IR,1594945713,43,27.15,57.08,91.4,9.17
busselton,82,AU,1594945713,90,-33.65,115.33,52,12.15
haines junction,22,CA,1594945713,36,60.75,-137.51,71.71,7.92
oriximina,36,BR,1594945713,71,-1.77,-55.87,80.17,3.24
berlevag,94,NO,1594945534,85,70.86,29.09,51.48,2.15
isangel,40,VU,1594945548,74,-19.55,169.27,80.6,6.93
saint-philippe,90,RE,1594945456,88,-21.36,55.77,68,4.7
severo-kurilsk,82,RU,1594945527,86,50.68,156.12,54.05,3.24
tumannyy,,,,,,,,
puerto escondido,75,MX,1594945715,69,15.85,-97.07,78.8,5.82
kita,100,ML,1594945715,92,13.03,-9.49,71.62,1.19
hasaki,75,JP,1594945584,100,35.73,140.83,66,9.17
samusu,,,,,,,,
provideniya,90,RU,1594945432,81,64.38,-173.3,53.6,4.47
jamestown,90,US,1594945491,94,42.1,-79.24,73.99,4.7
kavieng,29,PG,1594945716,63,-2.57,150.8,85.21,0.98
sentyabrskiy,,,,,,,,
lao cai,100,VN,1594945716,79,22.48,103.95,79.61,0.34
hattiesburg,1,US,1594945434,70,31.33,-89.29,84.99,3.36
sagua la grande,75,CU,1594945717,78,22.81,-80.08,82.4,6.93
sept-iles,75,CA,1594945717,63,50.2,-66.38,64.99,4.7
pamekasan,42,ID,1594945717,75,-7.16,113.47,79.65,11.74
belozerskoye,0,RU,1594945717,79,55.82,65.58,66.2,3.62
kodiak,90,US,1594945717,77,57.79,-152.41,60.8,6.93
vardo,79,NO,1594945718,81,70.37,31.11,53.73,3.76
shahreza,56,IR,1594945718,57,32.03,51.88,65.75,3.85
hermanus,0,ZA,1594945718,86,-34.42,19.23,46.99,6.38
hudson bay,38,CA,1594945718,58,52.85,-102.38,70.61,7.23
iracoubo,100,GF,1594945718,83,5.48,-53.2,79.39,10.4
paengaroa,100,NZ,1594945719,76,-37.82,176.42,59,1.01
barrow,90,US,1594945719,74,71.29,-156.79,35.6,13.87
castro,86,BR,1594945719,89,-24.79,-50.01,56.34,4.05
ensenada,2,MX,1594945719,75,31.87,-116.62,72,3
talnakh,75,RU,1594945719,87,69.49,88.4,50,17.9
nome,90,US,1594945462,82,64.5,-165.41,60.01,9.17
san cristobal,40,VE,1594945720,58,7.77,-72.22,84.2,6.93
umzimvubu,,,,,,,,
karabulak,2,RU,1594945720,93,43.3,44.9,62.6,4.47
cidreira,100,BR,1594945720,89,-30.18,-50.21,56.91,22.73
faanui,85,PF,1594945511,86,-16.48,-151.75,76.84,16.2
nkhotakota,73,MW,1594945721,58,-12.93,34.3,63.63,12.46
taolanaro,,,,,,,,
karauzyak,,,,,,,,
tutoia,2,BR,1594945721,82,-2.76,-42.27,78.8,9.69
hofn,89,IS,1594945722,88,64.25,-15.21,51.84,21.34
noumea,13,NC,1594945722,41,-22.28,166.46,75.2,10.29
pangnirtung,1,CA,1594945722,28,66.15,-65.71,65.55,2.86
turukhansk,17,RU,1594945722,85,65.82,87.98,48.9,17.4
fayaoue,23,NC,1594945722,59,-20.65,166.53,69.8,7.72
tagusao,99,PH,1594945552,74,9.19,117.81,82.58,5.86
kaspiysk,0,RU,1594945723,69,42.88,47.64,73.4,4.47
georgetown,20,MY,1594945723,94,5.41,100.34,77,2.24
dhidhdhoo,98,MV,1594945507,75,6.88,73.1,84.4,15.28
bogale,99,MM,1594945723,89,16.28,95.4,79.45,3.89
airai,0,TL,1594945724,72,-8.93,125.41,64.8,3.38
flin flon,40,CA,1594945724,60,54.77,-101.86,68,8.05
kutum,83,SD,1594945724,54,14.2,24.67,77.11,9.75
mahebourg,75,MU,1594945724,83,-20.41,57.7,69.8,5.82
hami,64,CN,1594945724,28,42.8,93.45,79.25,6.8
bethel,20,US,1594945684,64,41.37,-73.41,69.8,5.82
kapaa,20,US,1594945725,70,22.08,-159.32,84.2,8.05
laguna de perlas,75,NI,1594945725,79,12.34,-83.67,84.2,4.7
geraldton,40,AU,1594945725,72,-28.77,114.6,59,19.46
tual,11,ID,1594945725,83,-5.67,132.75,78.8,19.26
tanete,67,ID,1594945726,77,-3.94,119.78,79.45,6.46
imbituba,90,BR,1594945726,87,-28.24,-48.67,59,4.7
iqaluit,75,CA,1594945569,62,63.75,-68.51,53.6,5.82
hambantota,100,LK,1594945726,77,6.12,81.12,81.82,15.79
suez,0,EG,1594945726,75,29.97,32.53,70.63,9.1
okhotsk,100,RU,1594945726,85,59.38,143.3,57.52,7.87
boa vista,75,BR,1594945727,70,2.82,-60.67,84.2,3.36
katherine,0,AU,1594945558,24,-14.47,132.27,71.6,10.29
comrat,63,MD,1594945727,80,46.3,28.66,63.3,4.7
saint anthony,1,US,1594945727,45,45.02,-93.22,84.2,13.87
yerbogachen,2,RU,1594945727,63,61.28,108.01,56.68,10.69
torbay,90,CA,1594945728,100,47.67,-52.73,48.99,18.34
brownfield,25,US,1594945497,17,33.18,-102.27,99,1.99
bull savanna,72,JM,1594945728,81,17.89,-77.59,78.6,4.61
chara,100,RU,1594945728,77,56.91,118.26,61.57,5.68
aklavik,40,CA,1594945728,59,68.22,-135.01,64.4,8.05
chokurdakh,100,RU,1594945457,80,70.63,147.92,45.68,3.22
salalah,75,OM,1594945632,88,17.02,54.09,82.4,8.05
naze,75,JP,1594945463,83,28.37,129.48,82.4,14.99
buturlinovka,47,RU,1594945729,82,50.82,40.61,55.6,2.3
beloha,17,MG,1594945729,80,-25.17,45.05,57.42,6.11
saint-pierre,90,RE,1594945730,88,-21.34,55.48,68,4.7
padang,96,ID,1594945558,81,-0.95,100.35,77.56,2.46
boulder,40,US,1594945503,21,40.08,-105.35,84.2,13.87
great falls,1,US,1594945508,22,47.5,-111.3,86,10.29
palau,75,PW,1594945730,74,7.5,134.62,84.2,4.7
hilo,1,US,1594945731,62,19.73,-155.09,86,9.17
along,100,IN,1594945543,90,28.17,94.77,74.5,0.63
chagda,,,,,,,,
baykit,99,RU,1594945731,82,61.67,96.37,51.15,11.92
kumo,99,NG,1594945732,78,10.04,11.21,76.59,1.95
yei,99,SS,1594945732,93,4.09,30.68,65.28,2.64
puerto ayora,85,EC,1594945733,87,-0.74,-90.35,69.01,1.99
puerto penasco,0,MX,1594945733,70,31.32,-113.53,89.01,4
leningradskiy,97,RU,1594945734,81,69.38,178.42,46.83,14.07
souillac,75,MU,1594945526,83,-20.52,57.52,69.8,5.82
lorengau,52,PG,1594945735,62,-2.02,147.27,85.77,4.16
kahului,40,US,1594945511,52,20.89,-156.47,91.4,21.92
hervey bay,0,AU,1594945736,52,-25.3,152.85,62.01,5.99
