 Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
puerto ayora,75.0,EC,1595196317.0,73.0,-0.74,-90.35,75.2,13.87
busselton,54.0,AU,1595196586.0,76.0,-33.65,115.33,46.99,8.34
ossora,96.0,RU,1595196649.0,88.0,59.24,163.07,52.48,13.89
hofn,39.0,IS,1595196614.0,57.0,64.25,-15.21,55.54,9.22
cherskiy,0.0,RU,1595196598.0,46.0,68.75,161.3,70.34,7.29
ushuaia,40.0,AR,1595196511.0,92.0,-54.8,-68.3,32.0,5.82
carnarvon,0.0,AU,1595196465.0,87.0,-24.87,113.63,48.2,8.05
onega,0.0,RU,1595196650.0,67.0,63.91,38.14,58.89,5.61
yellowknife,75.0,CA,1595196579.0,60.0,62.46,-114.35,71.01,13.87
peniche,2.0,PT,1595196650.0,83.0,39.36,-9.38,66.99,5.01
kodiak,90.0,US,1595196584.0,87.0,57.79,-152.41,57.2,4.7
sitka,90.0,US,1595196528.0,93.0,57.05,-135.33,55.4,9.17
carutapera,97.0,BR,1595196560.0,83.0,-1.2,-46.02,76.89,6.98
hilo,20.0,US,1595196455.0,62.0,19.73,-155.09,84.2,9.17
bambous virieux,40.0,MU,1595196581.0,82.0,-20.34,57.76,68.0,12.75
juneau,90.0,US,1595196432.0,87.0,58.3,-134.42,57.99,14.99
sao joao da barra,0.0,BR,1595196652.0,78.0,-21.64,-41.05,71.6,11.41
cape town,40.0,ZA,1595196472.0,100.0,-33.93,18.42,60.01,11.41
hobart,40.0,AU,1595196503.0,75.0,-42.88,147.33,45.0,9.17
airai,24.0,TL,1595196652.0,56.0,-8.93,125.41,53.74,2.89
jamestown,20.0,US,1595196394.0,94.0,42.1,-79.24,77.0,9.17
rikitea,37.0,PF,1595196579.0,70.0,-23.12,-134.97,68.45,14.18
cam ranh,20.0,VN,1595196653.0,74.0,11.92,109.16,82.4,1.12
norman wells,75.0,CA,1595196610.0,63.0,65.28,-126.83,62.6,5.82
olafsvik,14.0,IS,1595196653.0,77.0,64.89,-23.71,48.67,5.64
kapaa,75.0,US,1595196581.0,78.0,22.08,-159.32,82.4,18.34
